Timestamp,Gender,Age,Year of Study,Major/Intended Major,"Average mobile screen time per day? (This question has to be accurate so please check this from your settings 🙏  🙏. in Hour:Min, don't worry about AM/PM)",What time of the day do you use your phone the most?⏰,What day of the week do you use your phone the most?📅,Most used app(Genre of app),Do you use your phone for academic purposes?,Number of people in your friend circle 👥👥,How would you rate your anxiety level on a scale of 1-5(with 5 being most anxious)😬,Do you play any sport? ⚽ 🏀 🏏,What is your CGPA? 🎓,Would you be willing to reduce your phone usage if it meant improving your academic performance?,"Do you use strategies to manage your phone usage? (e.g,  Setting usage limits, Using apps to track usage, Turning off notifications, Scheduled phone-free times  )"
10/14/2024 22:30:12,Male,20,Freshman,Sciences/Engineering/Comp Sci,5:20:00 AM,Night,Monday,"Social Media(Facebook, Instagram, Snapchat etc)",Yes,5,5,Yes,3.0-3.3,Yes,Yes
10/14/2024 23:22:14,Male,20,Junior,Arts 🎨 / Humanities and Social Science💲,6:37:00 AM,Evening,Sunday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,4,4,No,3.3-3.6,Yes,No
10/14/2024 23:24:55,Male,20,Junior,Sciences 🧬/Engineering 🔢/Comp Sci 🧑‍💻,8:08:00 AM,Evening,Saturday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,20,5,Yes,3.0-3.3,Yes,Yes
10/14/2024 23:28:01,Male,18,Senior,Sciences 🧬/Engineering 🔢/Comp Sci 🧑‍💻,6:21:00 AM,Evening,Saturday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",No,8,3,Yes,3.3-3.6,Yes,No
10/14/2024 23:28:18,Male,20,Junior,Business Studies 📈,6:00:00 AM,Night,Saturday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",No,10,3,No,2.5-3.0,Yes,Yes
10/14/2024 23:28:48,Male,20,Junior,Sciences 🧬/Engineering 🔢/Comp Sci 🧑‍💻,2:13:00 AM,Night,Saturday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",No,10,3,Yes,3.6-4.0,Yes,Yes
10/14/2024 23:30:16,Male,20,Junior,Sciences 🧬/Engineering 🔢/Comp Sci 🧑‍💻,6:20:00 AM,Night,Saturday,"Entertainment(YouTube, Netflix etc) 📺",Yes,20,3,Yes,3.3-3.6,Yes,No
10/14/2024 23:31:30,Male,20,Junior,Econ Math,7:16:00 AM,Night,Saturday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,20,3,Yes,3.3-3.6,Yes,No
10/14/2024 23:33:00,Male,20,Sophomore,Sciences 🧬/Engineering 🔢/Comp Sci 🧑‍💻,3:00:00 AM,Evening,Friday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,Expansice social circle,3,Yes,3.6-4.0,Yes,Yes
10/14/2024 23:33:26,Male,20,Junior,Sciences 🧬/Engineering 🔢/Comp Sci 🧑‍💻,7:11:00 AM,Evening,Monday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,10,3,Yes,2.5-3.0,Yes,No
10/14/2024 23:35:29,Male,20,Sophomore,Sciences 🧬/Engineering 🔢/Comp Sci 🧑‍💻,4:00:00 AM,Night,Friday,"Entertainment(YouTube, Netflix etc) 📺",Yes,4,2,Yes,3.3-3.6,Yes,No
10/14/2024 23:42:21,Male,21,Junior,Arts 🎨 / Humanities and Social Science💲,7:39:00 AM,Evening,Saturday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,4,2,No,3.6-4.0,No,No
10/14/2024 23:44:22,Male,20,Junior,Business Studies 📈,5:55:00 AM,Evening,Sunday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,50,1,Yes,3.3-3.6,Yes,No
10/14/2024 23:44:30,Male,21,Junior,Law ⚖️,5:31:00 AM,Night,Thursday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,8,4,No,3.6-4.0,Yes,No
10/14/2024 23:46:43,Male,20,Junior,Sciences 🧬/Engineering 🔢/Comp Sci 🧑‍💻,4:22:00 AM,Evening,Saturday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,15,4,Yes,3.3-3.6,Yes,Yes
10/14/2024 23:50:18,Male,21,Junior,Sciences 🧬/Engineering 🔢/Comp Sci 🧑‍💻,6:00:00 AM,Evening,Sunday,"Entertainment(YouTube, Netflix etc) 📺",Yes,3,3,,3.6-4.0,,
10/14/2024 23:50:56,Male,20,Sophomore,Sciences 🧬/Engineering 🔢/Comp Sci 🧑‍💻,8:50:00 AM,Afternoon,Sunday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,5,4,Yes,3.0-3.3,Yes,No
10/14/2024 23:52:23,Female,21,Junior,Business Studies 📈,7:40:00 AM,Evening,Sunday,"Messaging(Whatsapp, Messenger) 💬",Yes,7,3,Yes,3.0-3.3,Yes,No
10/15/2024 0:02:30,Male,19,Sophomore,Arts 🎨 / Humanities and Social Science💲,4:15:00 AM,Night,Saturday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",No,5,2,Yes,3.6-4.0,Yes,No
10/15/2024 0:04:35,Male,18,Freshman,Arts 🎨 / Humanities and Social Science💲,3:22:00 AM,Night,Friday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",No,20,4,Yes,3.3-3.6,Yes,Yes
10/15/2024 0:07:32,Male,19,Freshman,Sciences 🧬/Engineering 🔢/Comp Sci 🧑‍💻,9:00:00 AM,Night,Sunday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,12,2,Yes,3.0-3.3,Yes,No
10/15/2024 0:08:37,Female,21,Senior,Business Studies 📈,7:00:00 AM,Night,Saturday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,3,3,Yes,3.6-4.0,Yes,Yes
10/15/2024 0:11:19,Male,20,Junior,Sciences 🧬/Engineering 🔢/Comp Sci 🧑‍💻,8:45:00 AM,Night,Saturday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,10,2,Yes,3.3-3.6,Yes,No
10/15/2024 0:13:54,Male,18,Freshman,Law ⚖️,3:20:00 AM,Evening,Sunday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,10,3,Yes,3.6-4.0,Yes,Yes
10/15/2024 0:16:08,Male,21,Junior,Arts 🎨 / Humanities and Social Science💲,5:00:00 AM,Night,Saturday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",No,5-10,2,Yes,2.5-3.0,Yes,No
10/15/2024 0:16:46,Male,23,Junior,Law ⚖️,4:00:00 AM,Afternoon,Thursday,"Messaging(Whatsapp, Messenger) 💬",Yes,10,3,Yes,3.6-4.0,Yes,Yes
10/15/2024 0:20:41,Male,20,Junior,Business Studies 📈,5:00:00 AM,Night,Saturday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,5,3,Yes,3.3-3.6,Yes,Yes
10/15/2024 0:33:31,Male,21,Junior,Law ⚖️,7:39:00 AM,Evening,Friday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,4,1,Yes,2.5-3.0,No,No
