id,title,link,content,gold_label
0,ٹرمپ کے متنازع احکامات پر کیا ردعمل دینا ہے؟ پینٹاگون کے عہدیداروں نے سر جوڑ لیے,https://urdu.geo.tv/latest/386198-,  امریکی وزارت دفاع پینٹاگون کے عہدیداران میں اس معاملے پر غیر رسمی تبادلہ ہوا ہے کہ اگر نو منتخب صدر ڈونلڈ ٹرمپ کوئی متنازع حکم جاری کرتے ہیں تو کس طرح کا ردعمل دینا ہے۔ امریکی نشریاتی ادارے سی این این کی رپورٹ کے مطابق ڈونلڈ ٹرمپ نے اس ارادے کا اظہار کیا تھا کہ وہ فعال فورسز کو مقامی قوانین کی پاسداری اور بڑے پیمانے پر لوگوں کو ملک بدر کرنے کے لیے استعمال کریں گے اور انہوں نے یہ اشارہ بھی دیا تھا کہ وہ وفاقی حکومت میں وفاداروں کی فراوانی سے امریکی اسٹیبلشمنٹ سے  کرپٹ عناصر کا صفایا کریں گے۔ سی این این کی رپورٹ کے مطابق پہلے دور صدارت میں ٹرمپ کے اعلیٰ ملٹری آفیشلز سے تعلقات اچھے نہیں رہے تھے اور جنرل ریٹائرڈ مارک ملے جو اس وقت چیئرمین جوائنٹ چیفس آف اسٹاف تھے نے ڈونلڈ ٹرمپ کی جوہری ہتھیار استعمال کرنے کی طاقت کو محدود کر دیا تھا جبکہ ڈونلڈ ٹرمپ امریکی آرمی جنرلز کو کمزور اور بیکار لیڈرز قرار دیتے رہے ہیں۔ امریکی وزارت دفاع کے حکام پینٹاگون کی اوور ہالنگ کی تیاریوں کے ساتھ اب مختلف قسم کی صورتحال پر تبادلہ خیال کر رہے ہیں۔ اس حوالے سے امریکی وزارت دفاع کے ایک عہدیدار نے بتایا کہ ہم بدترین قسم کی صورتحال کا سامنا کرنے کی تیاری کر رہے ہیں تاہم ابھی ہمیں نہیں معلوم کہ ہم نے یہ کیسے کرنا ہے۔ ایک اور ڈیفنس آفیشل کا کہنا ہے کہ فوجی قانون کے تحت مجبور ہیں کہ وہ غیر قانونی احکامات کو ماننے سے انکار کر دیں لیکن اہم سوال یہ ہے کہ یہ کس طرح سے ہو گا کیا ہم سینئر ملٹری لیڈر شپ کے استعفے دیکھیں گے یا پھر وہ اپنے لوگوں کو چھوڑ دیں گے۔ ٹرمپ کے گزشتہ دور حکومت میں وزارت دفاع سے تعلق رکھنے والے ایک سابق عہدیدار کا کہنا ہے ابھی تک یہ معلوم نہیں ہو سکا کہ ٹرمپ کسے پینٹاگون کا چیف مقرر کریں گے تاہم حکام پرامید ہیں کہ ڈونلڈ ٹرمپ ملٹری انتظامیہ سے مخالفانہ رویہ اختیار کرنے سے گریز کریں گے۔ سابق امریکی عہدیدار کا کہنا تھا ٹرمپ کے گزشتہ دور حکومت میں وائٹ ہاؤس اور پینٹاگون کا تعلق انتہائی برا تھا اس لیے اس بار سب کے ذہنوں میں یہ سوال گونج رہا ہے کہ ٹرمپ وزارت دفاع میں کسے لاتے ہیں۔ امریکا کے سیکرٹری دفاع لائیڈ آسٹن کا اس حوالے سے کہنا ہے میں اس بات پر مکمل یقین رکھتا ہوں کہ ہمارے لیڈرز جو درست ہوگا وہ کرتے رہیں گے میں اس بات پر بھی یقین رکھتا ہوں کہ ہماری کانگریس فوج کی حمایت جاری رکھے گی۔,world
1,انسانی روبوٹ کا پہلا فن پارہ 30کروڑ روپے میں نیلام,https://urdu.geo.tv/latest/386187-,  ایک انسان نما روبوٹ نے ایک انگریز ریاضی دان ایلن ٹیورنگ کا ایک پورٹریٹ بنایا ہے۔ یہ کسی بھی روبوٹ کا بنایاہوا پہلا آرٹ ورک ہے۔ یہ تصویر جمعرات کو نیویارک میں  ملین ڈالر  پاکستانی روپوں میں فروخت ہوئی ہے۔  میٹر  فٹ کی یہ پورٹریٹ جس کا عنوان اے آئی گاڈ۔ پورٹریٹ آف ایلن ٹیورنگ ہے  نے بنائی جو دنیا کی پہلی انتہائی حقیقت پسند روبوٹ آرٹسٹ ہے۔ اس نے  میں نیلامی کے دوران  سے  کی پیشگی توقعات کو توڑ دیا جہاں اس پر  بولیاں لگائی گئیں۔  کو دو سالوں میں پروگرامرز روبوٹکس ماہرین آرٹ ماہرین اور ماہرین نفسیات کی ٹیم نے تیار کیا اور اسے  ٹیکنالوجی میں بہتری کے ساتھ اپڈیٹ کیا جاتا ہے۔ حیران کن  پہلی روبوٹ بن گئی جو آرٹسٹ کی طرح پینٹ کرتی ہے۔ نیلام گھر نے ایک بیان میں کہا انسان نما روبوٹ آرٹسٹ کی پہلی آرٹ ورک کی نیلامی میں ریکارڈ توڑ قیمت آج کی تاریخ میں جدید اور عصری آرٹ کا ایک اہم لمحہ ہے اور عالمی آرٹ مارکیٹ میں  ٹیکنالوجی کے بڑھتے ہوئے انضمام کی عکاسی کرتا ہے۔  نے اپنے ہنر کے بارے میں کہا ہے کہ میرے کام کی بنیادی قدر اس کی یہ صلاحیت ہے کہ یہ ابھرتی ہوئی ٹیکنالوجیز کے بارے میں مکالمے کے لیے محرک کے طور پر کام کر سکتی ہے۔,world
2,غزہ: مسلسل اسرائیلی بمباری سے گزشتہ 24 گھنٹوں کے دوران مزید 23 فلسطینی شہید,https://urdu.geo.tv/latest/386167-,  غزہ میں مسلسل اسرائیلی بمباری سے گزشتہ  گھنٹوں کے دوران مزید  فلسطینی شہید ہوگئے۔ گزشتہ صبح سویرے سے رات گئے تک اسرائیلی فوج نے غزہ سٹی نصیرات اور بیت لاہیہ کے علاقوں کو نشانہ بنایا  مغربی کنارے میں بھی  فلسطینیوں کو شہید کردیا گیا۔ غزہ میں اسرائیلی بربریت کا نشانہ بننے کر شہید ہونے والوں کی مجموعی تعداد  ہزار  ہوگئی۔ اقوام متحدہ انسانی حقوق کے مطابق غزہ میں اسرائیلی جارحیت سے شہید ہونے والوں میں  فیصد خواتین اور بچے شامل ہیں۔ ادھر اسرائیلی فوج کے لبنان میں حملوں سے  گھنٹوں میں  شہری شہید ہوئے اسرائیلی فوج کی جانب سے لبنان سے فائر کیے گئے  ڈرون گرانے کا بھی دعویٰ کیا گیا۔ اسرائیلی فوج کی نباتیہ اور طائر کے علاقوں میں بمباری سے طبی عملے کے رکن سمیت  شہری شہید ہوگئے۔ دوسری جانب جوابی کارروائی کرتے ہوئے لبنان کی مزاحمتی تنظیم حزب اللہ نے اسرائیل کی رمات ڈیوڈ بیس حیفہ میں نیول بیس اور فوجی ہوائی اڈاے کو نشانہ بنایا۔,world
3,امریکا نے قطر سے حماس قیادت کو ملک بدر کرنے کا مطالبہ کردیا,https://urdu.geo.tv/latest/386165-,  امریکا نے اسرائیلی یرغمالیوں کی رہائی سے متعلق امریکی معاہدہ مسترد کرنے پر قطر سے حماس قیادت کو ملک بدر کرنے کا مطالبہ کردیا۔ برطانوی خبر ایجنسی کے مطابق امریکا کی جانب سے قطر کو واضح پیغام دیا گیا ہے کہ دوحا میں حماس قیادت کی موجودگی کو مزید قبول نہیں کیا جائے گا کیونکہ فلسطینی مزاحمتی گروپ نے جنگ بندی اور یرغمالیوں کی رہائی سے متعلق نئی تجاویز کو بھی مسترد کردیا ہے۔ سینیئر امریکی عہدیدار نے برطانوی خبر ایجنسی سے بات کرتے ہوئے کہا کہ کئی روز قبل ہی امریکا کی جانب سے حماس کے معاہدے سے متعلق نئی تجاویز مسترد کرنے پر قطر کو یہ پیغام پہنچا دیا گیا تھا کہ وہ حماس کی قیادت کو ملک بدر کردیں۔ امریکی عہدیدار کا کہنا تھا کہ حماس کی جانب سے یرغمالیوں کی رہائی سے متعلق معاہدے کی تجاویز کو بار بار مسترد کرنے کے بعد حماس کے رہنماؤں کو کسی بھی امریکی اتحادی ملک کے دارالحکومت میں برداشت نہیں کیا جا سکتا۔ امریکی عہدیدار نے بتایا کہ قطر نے تقریباً دس روز قبل حماس کے رہنماؤں سے  بھی اس مطالبے کا اظہار کردیا  تھا کہ واشنگٹن نے تجاویز مسترد کرنے پر قطر سے کہا ہے کہ اب وقت آگیا ہے حماس کا سیاسی دفتر بند کردیا جائے۔ دوسری جانب حماس کے تین رہنماؤں نے قطر کی جانب سے ملک چھوڑنے کے کسی بھی مطالبے کی خبر کو مسترد کردیا ہے جبکہ قطر کی وزارت خارجہ کی جانب سے بھی خبر کی تصدیق یا تبصرے کی درخواست کا کوئی جواب سامنے نہیں آیا۔ خیال رہے اکتوبر کے وسط میں دوحا میں ہونے والے مذاکرات کا تازہ دور بھی ناکام ہوگیا تھا کیونکہ حماس نے قلیل مدتی جنگ بندی کی تجویز کو مسترد کردیا تھا۔ یاد رہے کہ گزشتہ برس امریکی وزیر خارجہ نے  اکتوبر کے حملے کے بعد قطر سمیت خطے کے دیگر ممالک کو واضح کردیا تھا کہ حماس کے ساتھ معمول کے تعلقات برقرار نہیں رکھے جاسکتے جس پر قطر نے واشنگٹن کو یقین دہانی کروائی تھی کہ غزہ جنگ کے خاتمے کے بعد حماس رہنماؤں کی ملک میں موجودگی پر دوبارہ غور کرنے کیلئے تیار ہیں۔ یہ بھی یاد رہے کہ غیرنیٹو اتحادی کے طور پر امریکا  کے خلیجی ریاستوں میں ایک بااثر اتحادی کے طور پر قطر نے امریکی معاہدے کے تحت  میں حماس کو دوحا میں سیاسی دفتر کھولنے کی اجازت دی تھی۔,world
4,امریکی مسلمان اور عرب ووٹرز کے ڈیموکریٹک پارٹی سے منہ موڑنے کی وجہ کیا بنی؟,https://urdu.geo.tv/latest/386163-,  امریکا کی سب سے بڑی مسلم شہری حقوق اور وکالت کی تنظیم کونسل آن امریکن اسلامک ریلیشنز کیئر کا کہنا ہے کہ  کے صدارتی انتخابات میں امریکی مسلمان اور عرب ووٹرز نے تاریخی تبدیلی کا مظاہرہ کیا۔ کیئر کے ایگزٹ پول کے مطابق مسلمان اور عرب ووٹرز نے  ڈیموکریٹک پارٹی کے بجائے دیگر امیدواروں یا ڈونلڈ ٹرمپ کی حمایت کی نصف سے بھی کم مسلم ووٹرز نے نائب صدر کملا ہیرس کو ووٹ دیا جبکہ باقی ووٹرز نے تیسرے فریق  یا ٹرمپ کو ترجیح دی۔ کیئر کے ڈائریکٹر برائے حکومتی امور رابرٹ مکاؤ کا کہنا ہے کہ گزشتہ  سال میں پہلی بار مسلم کمیونٹی تین امیدواروں میں منقسم ہوئی ہے۔ امریکی مسلمان اور عرب ووٹرز کے ڈیموکریٹک پارٹی سے منہ موڑنے کی اہم وجہ غزہ پالیسی کو قرار دیتے ہوئے کیئر کے قومی ایگزیکٹو ڈائریکٹر نے کہا کہ کملا ہیرس نےغزہ پر جنگ بندی اور اسرائیل کو ہتھیاروں کی فراہمی معطل کرنے کی عوامی حمایت کو نظرانداز کیا انہوں نے صرف ایک ہمدردانہ لہجہ اپنایا جبکہ صدر بائیڈن کی پالیسی پر قائم رہیں۔ انہون نے کہا کہ کیئر کی جانب سے مسلم ووٹرز کے ایگزٹ پول کی ریلیز مزید تجزیات کیلئے مؤخر کر دی گئی ہے تاکہ ووٹرز کی ترجیحات کا بہتر تجزیہ کیا جا سکے۔ کیئر کے مطابق انتخابات کے بعد امریکی مسلمان برادری کی ٹرمپ سے اپیل ہے کہ وہ اپنے وعدے پورے کریں اور غزہ جنگ کا خاتمہ کریں۔,world
5,نیواڈا سے منتخب ریاستی اسمبلی کی رکن حنادی ندیم کون؟,https://urdu.geo.tv/latest/386161-,  حنادی ندیم امریکا کے عام انتخابات میں نیواڈا سے ریاستی اسمبلی کی رکن بننے میں کامیاب ہوگئیں۔ امریکن پاکستانی حنادی ندیم نے یہ الیکشن ڈیموکریٹک پارٹی کے ٹکٹ پر لڑا۔ صدارتی الیکشن میں پانسہ پلٹنے والی ریاستوں میں سے ایک سمجھی جانیوالی اس ریاست کی اسمبلی نشست کیلئے ان کا مقابلہ ری پبلکن حریف برینڈن ڈیوس سے تھا۔ ڈسٹرکٹ  کی نمائندگی جیتنے کیلئے ہوئے انتخابات میں انہیں  ہزار  ووٹ ملے جو کہ  اعشاریہ  فیصد ہیں۔ سخت مقابلے میں ان کے حریف برینڈن ڈیوس  ہزار  ووٹ لے پائے جوکہ تقریباً  اعشاریہ ایک فیصد ہیں۔ نیواڈا کے اس ڈسٹرکٹ میں کانٹے کا مقابلہ ہونے کی بنیادی وجوہات میں سے ایک یہ بھی تھی کہ یہ نشست الیکشن سے پہلے ہی خالی ہوگئی تھی۔ قسمت کی دیوی حنادی ندیم پر پہلے ہی سے مہربان تھی کیونکہ ڈیموکریٹک پارٹی کا کوئی بھی شخص یہ ٹکٹ لینے کیلئے ان کے مقابلے میں اترا ہی نہیں تھا۔ وہ پارٹی کی بلامقابلہ امیدوار بنیں جس کی وجہ سے پوری پارٹی نے ان کا بھرپور ساتھ دیا۔ حنادی ندیم انٹریپرینئیور ہیں اور ہیلتھ کیئر کے کاروبار سے وابستہ ہیں۔ وہ مشہور فلاحی تنظیم اپنا الائنس سے بھی وابستہ رہی ہیں پاکستان اور امریکا دونوں میں خواتین اور بچوں کیلئے ہیلتھ کیئر سے متعلق سماجی خدمات ادا کرتی رہی ہیں۔ حنادی ندیم کا  تعلق پاکستان کے دارالحکومت اسلام آباد سے ہے۔ شوہر سمیت ان کے گھرانے کے کئی افراد فزیشنز ہیں۔ اسی لیے وہ تعلیم اور صحت پر خصوصی توجہ دیتی رہی ہیں۔ جیو سے گفتگو کرتے ہوئے حنادی ندیم نے کہا کہ وہ  گن وائلنس روکنے پبلک سیفٹی ہاؤسنگ اور رینٹل مسائل حل کرنے ملازمتیں پیدا کرنے معیشت کی بہتری ماحولیاتی آلودگی پرقابو پانے تولیدی حقوق تعلیم  اورہیلتھ کیئر کیلئے خدمات انجام دینے کی ہر ممکن کوشش کریں گی۔,world
6,حوثیوں نے امریکی ڈرون طیارہ مارگرانے کی ویڈیو جاری کردی,https://urdu.geo.tv/latest/386156-,  یمنی حوثیوں نے امریکی ایم کیو  ڈرون طیارہ مارگرانے کی ویڈیو جاری کردی۔ دارالحکومت صنعا میں احتجاجی مظاہرے میں خطاب سے حوثی ترجمان یحییٰ سریع نے کہا کہ یمنی صوبے الجوف میں امریکی ڈرون ایم کیو  کو مار گرایا۔ یحییٰ سریع نے کہا کہ حوثیوں کی جانب سے جنوبی اسرائیل میں واقع نیواتیم ائیربیس پر فلسطین  نامی بیلسٹک میزائل بھی داغا گیا۔ یحییٰ سریع نے مزید کہا کہ حوثی فلسطین کی حمایت جاری رکھتے ہوئے اسرائیل اور اس سے منسلک بحری جہازوں کے لیے بحری راستے بند رکھیں گے اور جہازوں کو نشانہ بناتے رہیں گے۔ ہائپر سونک بیلسٹک  میزائل نے  کلومیٹر سے زائد کا سفر  صرف  منٹ میں طے کیا اور اسرائیل میں اپنے ٹارگٹ تک پہنچا حوثی ترجمان حوثی گروپ کی جانب سے داغے جانے والے ہائپرسونک میزائل کا نام فلسطین  ہے۔,world
7,نیتن یاہوکے دفتر نے سابق وزیر دفاع اور فوجی اہلکاروں کی حساس ویڈیوز جمع کیں، اسرائیلی میڈیا کا انکشاف,https://urdu.geo.tv/latest/386146-,  اسرائیلی وزیر اعظم کے دفتر کی جانب سے سابق وزیر دفاع یواف گیلانٹ اور فوجی اہلکاروں کی حساس ویڈیوز جمع کرنے کا انکشاف سامنے آیا ہے۔ اسرائیلی اخبار ٹائمز آف اسرائیل کی رپورٹ کے مطابق وزیر اعظم بنیامین نیتن یاہو کے دفتر نے سابق وزیر دفاع اور وزیر اعظم کے دفتر میں کام کرنے والے ایک فوجی اہلکار کی سکیورٹی کیمر ا سے بنی حساس ویڈیوز جمع کی ہوئی ہیں۔ بنیامین نیتن یاہو کے دفتر نے ان الزامات کی تردید کرتے ہوئے انہیں جھوٹ پر مبنی قرار دیا ہے۔ متعدد اسرائیلی میڈیا اداروں کی جانب سے رپورٹ کیا گیا ہے کہ کچھ ماہ قبل اسرائیل ڈیفنس فورسز کے سربراہ جنرل ہرزی حلاوی کو اس بات کی اطلاع دی گئی تھی کہ وزیر اعظم کے دفتر کے پاس ایک سینئر فوجی اہلکار کی حساس ویڈیو موجود ہے جسے قابل اعتراض انداز میں استعمال کیا گیا ہے۔ اسرائیلی چینل  کے مطابق اسرائیلی وزیراعظم کے دفتر کے دو سینئر حکام سکیورٹی کیمروں سے حساس ویڈیوز حاصل کرنے میں ملوث تھے تاہم اس کی وجہ معلوم نہ ہوسکی۔ اسرائیلی نیوز ویب سائٹ وائے نیٹ کے مطابق اس وقت کے وزیر دفاع یواف گیلانٹ کی ویڈیو بھی حاصل کی گئی تھی جس میں انہیں اکتوبر  میں تل ابیب میں وزارت دفاع کے ہیڈکوارٹر میں ایک سکیورٹی گارڈ کے ساتھ جھگڑتے ہوئے دکھایا گیا تھا۔ وائے نیٹ نے کہا کہ وزیر اعظم ہاؤس نے  نیتن یاہو کے وزیر دفاع سے بگڑتے ہوئے تعلقات کے دوران اس ویڈیو کو نامعلوم وجوہات کی بنا پر اپنے پاس رکھا ہوا تھا۔ اسرائیلی وزیر اعظم بنیامین نیتن یاہو نے گزشتہ دنوں وزیر دفاع یواف گیلانٹ کو عہدے سے برطرف کردیا تھا۔ خیال رہے کہ اسرائیلی پولیس وزیر اعظم ہاؤس کے حوالے دو علیحدہ معاملات کی تحقیقات کررہی ہے۔ ان میں سے ایک معاملہ اسرائیلی فوج کے حساس ترین دستاویزات کی چوری اور وزیر اعظم کے قریبی افراد کو لیک کیے جانے کے حوالے سے ہے جنہوں نے بعد ازاں ان دستاویزات میں موجود معلومات کو مبینہ طور پر سیاسی مفادات کے لیے غیر ملکی میڈیا کو لیک کیا۔ اس حوالے سے اسرائیلی پولیس  افراد کو گرفتار کرچکی ہے جن میں وزیر اعظم کے دفتر کے ساتھ کام کرنے والا ایک ترجمان بھی شامل ہے۔ اسرائیلی پولیس غزہ میں جنگ کے آغاز کے بعد سے ہونے والی بدعنوانی اور مبینہ مجرمانہ واقعات کے حوالے سے بھی تحقیقات کررہی ہے۔ چند روز قبل اسرائیلی وزیراعظم بن یامین نیتن یاہو نے دوران جنگ اسرائیلی وزیر دفاع یواف گیلانٹ کو برطرف کردیا تھا یواف گیلانٹ نے گزشتہ روز  ہزار قدامت پسند یہودیوں کو اسرائیلی فوج میں بھرتی کرنے کی منظوری دی تھی۔,world
8,تارکین وطن کو امریکا آنے سے روکنے اور انہیں ملک بدر کرنے کی بات پر قائم ہوں: ٹرمپ,https://urdu.geo.tv/latest/386115-,  واشنگٹن صدارتی انتخابات جیتنےکے بعد بھی ڈونلڈ ٹرمپ نے تارکین وطن کی آمد روکنے اور انہیں امریکا سے نکالنے کے اپنے بیانات پر قائم رہنے کا عزم ظاہر کیا ہے۔ صدارتی انتخابات میں کامیابی کے بعد ڈونلڈ ٹرمپ نے امریکی میڈیا کو اپنا پہلے انٹرویو دیتے ہوئے کہا کہ وہ امریکا کے بارڈرز کو محفوظ بنانے اور تارکین وطن کو ملک بدر کرنے کے اپنے بیانات پر قائم ہیں۔ امریکی میڈیا کے مطابق لوگوں کی ملک بدری کی قیمت کے سوال پر ٹرمپ نے جواب دیا کہ یہ قیمت کی بات نہیں ہے خاص کر ایسے وقت میں جب لوگوں کو قتل کیا جائے اور منشیات گینگ ملک کو تباہ کررہے ہیں تو ایسے میں لوگوں کو واپس جانا ہوگا اور اس کے سوائے کوئی اور راستہ نہیں۔ امریکی میڈیا نے اپنی رپورٹ میں کہا کہ ڈونلڈ ٹرمپ کے صدر بننے کی صورت میں غیرقانونی تارکین کو کیمپوں میں رکھ کر بے دخل کیا جائے گا ٹرمپ نے یہ بھی کہا کہ وہ لوگوں کے امریکا آنے کے خلاف بالکل نہیں ہیں بلکہ وہ چاہتے ہیں کہ لوگ امریکا آئیں۔ ایک رپورٹ کے مطابق امریکا میں تارکین وطن کی تعداد لاکھوں میں ہےاور امریکی حکام کا کہنا ہے کہ اتنے زیادہ لوگوں کو ملک بدر کرنے کے پلان میں حکومت کو معاشی اور نقل و حمل کے چیلنجز درپیش ہونگے۔ واضح رہے کہ نومنتخب امریکی صدر ڈونلڈ ٹرمپ اپنی انتخابی مہم میں تارکین وطن کی امیگریشن روکنے اور غیر قانونی رہائش پذیر لوگوں کو نکالنے کی بات کرتے رہےہیں۔,world
9,نیدرلینڈز: فلسطینی پرچم کی بے حرمتی، فٹبال میچ کے بعد تصادم میں 11 اسرائیلی زخمی,https://urdu.geo.tv/latest/386105-,  ایمسٹرڈیم نیدرلینڈز میں ایک فٹبال میچ کے بعد اسرائیلی شائقین اور اسٹیڈیم کے باہر مظاہرہ کرنے والے فلسطینی مظاہرین میں تصادم ہوا۔ غیر ملکی میڈیا کے مطابق نیدرلینڈز کے دارالحکومت ایمسٹرڈیم  میں جاری فٹبال میچ کے بعد اسرائیلی فٹبال ٹیم مکابی تل ابیب کےحامیوں اور فلسطینی مظاہرین میں تصادم کے نتیجے میں  اسرائیلی تماشائی زخمی ہوگئے۔ رپورٹ کے مطابق کے مطابق فٹبال میچ سے قبل اسرائیلی تماشائیوں نے فلسطینی پرچم کی بے حرمتی کی اس دوران عرب مخالف اورغزہ کے بچوں کےخلاف نفرت انگیز نعرے بھی لگائے گئے جس کے نتیجے میں تصادم شروع ہوا۔ عرب میڈیا کا بتانا ہے کہ میچ سے قبل اسپین میں سیلاب میں مرنے والوں کے لیے ایک منٹ کی خاموشی پربھی اسرائیلی تماشائی شورمچاتے رہے اور اس دوران  عرب مخالف ترانے پڑھے گئے۔ رپورٹ کے مطابق حملوں کے بعد اسرائیلی وزات خارجہ نے اپنے شہریوں کو ہدایت کی ہے کہ وہ  ہوٹلز تک محدود رہیں جب کہ اسرائیلی وزیراعظم نیتن یاہو نے اپنے شہریوں کو واپس لانے کے لیے دو طیارے ہنگامی طور پر ایمسٹرڈیم بھیجنے کا حکم دیا ہے۔,world
